date,value
10-1-2022,5.23
30-1-2022,1050
21-12-2022,179.2
24-2-2021,1200.32
19-7-2022,35.84
15-1-2023,300.08
12-1-2023,1200.34
5-11-2022,1800.51
23-7-2021,1200.34
30-6-2022,1200.32
1-11-2022,300.08
27-10-2022,600.17
21-8-2022,1500.4
13-3-2021,900.24
4-8-2022,81.32
1-4-2021,10.46
8-8-2021,2400.68
28-6-2021,3150
25-1-2021,1500.4
22-11-2021,1200.32
13-11-2022,121.98
12-8-2022,1200.32
18-9-2022,71.68
8-6-2021,1200.32
30-8-2021,162.64
19-6-2022,107.52
15-12-2022,900.24
29-12-2021,81.32
19-6-2022,121.98
16-6-2021,75.75
7-2-2021,600.17
17-1-2023,15.69
20-1-2022,203.3
31-7-2022,23.46
30-9-2021,600.17
6-4-2022,5.23
14-11-2022,203.3
24-2-2021,900.24
25-5-2021,46.92
22-3-2021,600.16
22-12-2022,300.08
7-7-2021,26.15
18-9-2021,5.23
18-2-2022,81.32
13-6-2021,10.46
30-5-2021,179.2
26-3-2021,1200.32
27-7-2022,2100
6-4-2022,23.46
4-2-2022,1500.4
26-6-2022,46.92
25-7-2022,26.15
19-9-2021,35.84
10-10-2022,600.16
29-3-2022,2100
9-7-2021,300.08
25-1-2022,11.73
14-12-2021,75.75
4-9-2022,300.08
14-8-2022,71.68
3-2-2022,81.32
3-1-2021,1200.32
5-12-2021,26.15
14-6-2022,107.52
13-8-2021,1200.32
11-1-2022,1200.34
22-12-2021,121.98
4-2-2021,81.32
22-2-2022,121.98
14-9-2021,107.52
3-8-2021,300.08
2-1-2023,46.92
23-11-2022,35.84
10-1-2023,300.08
10-1-2022,2400.68
6-8-2022,5.23
19-2-2023,81.32
29-6-2021,15.69
1-7-2021,600.16
7-2-2022,5.23
10-10-2021,71.68
30-6-2021,900.24
24-3-2022,60.6
17-9-2022,121.98
31-7-2021,81.32
21-11-2022,46.92
4-9-2022,10.46
18-2-2021,121.98
21-3-2021,35.19
2-9-2022,20.92
16-6-2021,107.52
26-1-2023,107.52
1-7-2022,1500.4
25-1-2023,203.3
23-9-2022,203.3
8-9-2021,300.08
31-10-2022,3150
18-10-2021,1500.4
15-7-2022,1200.32
31-5-2021,58.65
22-12-2021,1200.34
28-10-2022,58.65
13-6-2021,40.66
25-9-2022,20.92
18-8-2021,15.15
16-9-2021,10.46
15-11-2022,203.3
7-8-2021,15.69
25-5-2021,300.08
12-7-2022,600.16
14-9-2022,15.69
6-3-2022,600.17
23-2-2023,162.64
25-6-2021,121.98
31-7-2022,600.16
8-4-2021,81.32
1-4-2021,600.16
13-2-2022,2400.68
15-6-2022,75.75
19-7-2022,107.52
1-7-2022,15.69
19-6-2021,300.08
11-1-2022,179.2
5-12-2022,26.15
21-4-2021,300.08
10-11-2021,300.08
19-9-2022,143.36
18-1-2021,600.16
21-4-2022,600.17
25-11-2022,600.17
9-11-2022,1500.4
3-1-2022,5250
19-2-2022,600.16
15-12-2022,1800.51
8-11-2021,600.16
1-5-2022,20.92
14-4-2021,600.16
28-6-2021,203.3
10-6-2022,3000.85
12-5-2022,900.24
27-12-2022,1500.4
16-8-2021,5.23
5-3-2021,10.46
9-2-2023,1050
26-2-2023,162.64
17-2-2023,1200.34
8-8-2022,203.3
8-3-2023,23.46
2-10-2021,3000.85
22-12-2021,20.92
12-9-2021,300.08
23-3-2022,2400.68
11-12-2021,1500.4
29-12-2022,15.15
8-3-2023,900.24
10-2-2021,15.69
10-5-2021,300.08
6-3-2022,15.69
29-3-2021,143.36
4-10-2022,5250
4-11-2021,1500.4
8-11-2022,300.08
17-5-2021,1200.32
16-6-2022,121.98
24-9-2022,3150
4-4-2022,162.64
18-10-2022,5.23
16-10-2021,5.23
17-5-2021,1200.32
3-2-2023,300.08
15-11-2022,1500.4
29-7-2021,23.46
17-7-2021,143.36
8-3-2022,300.08
22-9-2022,3000.85
1-8-2022,300.08
3-4-2021,1500.4
21-11-2021,1500.4
17-9-2021,1500.4
9-8-2022,75.75
8-9-2021,11.73
8-10-2021,20.92
3-3-2021,300.08
26-12-2021,1200.32
13-2-2023,203.3
4-7-2021,1200.32
26-1-2021,300.08
5-10-2022,10.46
5-4-2021,75.75
27-3-2021,23.46
21-11-2022,58.65
21-2-2022,1200.34
22-8-2022,143.36
6-12-2022,121.98
25-3-2021,1800.51
5-3-2021,35.84
2-8-2021,1800.51
16-4-2021,20.92
3-2-2023,1500.4
6-5-2022,26.15
5-2-2022,600.17
1-12-2022,35.84
16-12-2021,600.16
6-1-2023,162.64
8-12-2021,15.69
23-2-2021,26.15
7-1-2022,46.92
14-2-2022,5.23
20-5-2022,600.16
15-10-2021,300.08
2-2-2023,4200
9-11-2021,300.08
9-1-2023,10.46
22-11-2021,3150
7-1-2023,300.08
23-9-2022,121.98
24-6-2022,4200
4-7-2021,179.2
23-8-2021,26.15
11-8-2022,26.15
2-8-2021,162.64
7-7-2022,2100
13-2-2022,107.52
17-10-2022,1800.51
14-11-2022,162.64
24-3-2021,900.24
19-2-2021,162.64
12-11-2022,15.15
13-4-2021,81.32
3-5-2021,600.16
24-4-2022,900.24
17-12-2022,900.24
19-11-2022,20.92
22-9-2022,179.2
16-3-2022,600.16
1-1-2022,20.92
23-7-2021,15.69
22-12-2021,40.66
9-3-2022,81.32
20-2-2022,35.84
14-11-2021,600.16
23-1-2022,121.98
16-1-2021,1500.4
2-4-2022,121.98
16-10-2022,75.75
18-1-2023,300.08
27-9-2022,10.46
31-1-2022,600.16
10-12-2022,900.24
8-4-2022,10.46
5-8-2022,1500.4
7-1-2023,2400.68
28-6-2021,1200.32
4-6-2022,71.68
25-7-2021,900.24
14-2-2021,10.46
28-7-2022,23.46
9-9-2022,15.69
19-3-2022,3000.85
25-12-2022,121.98
20-9-2022,35.84
12-4-2022,58.65
3-10-2021,162.64
13-6-2022,15.69
1-7-2021,900.24
8-7-2022,1500.4
2-2-2022,71.68
10-11-2022,900.24
1-1-2023,35.84
6-11-2021,15.15
9-4-2021,300.08
31-7-2021,81.32
15-8-2022,900.24
24-8-2021,15.69
24-1-2022,1500.4
14-6-2022,10.46
5-12-2021,46.92
12-10-2021,2100
21-4-2022,162.64
24-6-2021,35.84
5-3-2023,162.64
9-5-2021,40.66
11-9-2021,81.32
1-10-2021,5.23
1-8-2021,81.32
4-9-2021,40.66
21-5-2021,121.98
11-7-2022,10.46
2-1-2023,3000.85
29-6-2021,203.3
21-3-2021,20.92
25-3-2022,143.36
10-5-2021,10.46
24-3-2022,26.15
19-10-2021,20.92
15-3-2022,20.92
24-11-2022,46.92
21-7-2022,300.08
29-3-2021,60.6
26-12-2022,900.24
21-1-2023,10.46
6-11-2021,20.92
12-12-2021,75.75
11-11-2022,1500.4
25-6-2022,10.46
4-7-2022,600.16
2-2-2023,45.45
30-1-2021,900.24
19-2-2023,15.69
22-6-2022,5.23
16-10-2022,121.98
9-12-2022,1200.34
1-12-2022,35.84
6-9-2021,600.17
7-2-2022,600.17
16-12-2021,81.32
12-3-2022,179.2
15-12-2022,45.45
26-12-2021,300.08
4-1-2021,162.64
27-4-2022,1500.4
19-2-2023,600.16
2-3-2023,300.08
28-1-2021,46.92
19-6-2021,300.08
16-7-2021,121.98
3-11-2021,10.46
16-11-2021,1500.4
27-11-2022,900.24
2-8-2021,107.52
26-8-2022,1050
8-9-2021,600.17
1-1-2022,600.17
11-1-2023,300.08
28-8-2021,1500.4
1-3-2021,40.66
22-5-2021,26.15
9-3-2021,1500.4
21-4-2021,5250
3-5-2021,2400.68
13-1-2022,1050
12-3-2022,58.65
15-11-2022,300.08
20-10-2021,121.98
30-9-2021,203.3
31-1-2021,162.64
8-7-2021,20.92
7-10-2021,1500.4
9-7-2021,71.68
13-1-2021,2400.68
20-7-2022,600.17
1-9-2021,900.24
25-10-2022,300.08
17-6-2022,121.98
9-5-2021,40.66
29-4-2022,2400.68
9-11-2021,900.24
8-10-2021,203.3
29-5-2022,600.16
22-8-2022,26.15
16-11-2022,5.23
17-8-2022,58.65
10-2-2023,15.69
20-1-2021,81.32
19-5-2022,60.6
30-1-2023,4200
25-2-2021,26.15
18-12-2022,179.2
16-7-2022,162.64
18-1-2022,900.24
11-9-2021,15.69
7-8-2022,600.16
31-1-2021,20.92
15-7-2021,5.23
16-10-2021,75.75
29-3-2021,300.08
22-9-2021,300.08
20-3-2021,35.84
28-8-2022,162.64
3-6-2022,1200.32
27-3-2021,1200.34
4-11-2021,162.64
11-8-2021,600.16
5-8-2022,26.15
2-10-2022,143.36
30-12-2022,1200.32
5-1-2022,1500.4
28-2-2022,35.84
10-11-2022,600.16
29-11-2022,1200.34
21-8-2021,35.84
29-6-2021,15.69
7-7-2021,1200.32
27-8-2022,71.68
26-2-2023,58.65
27-12-2021,600.17
1-2-2023,40.66
10-2-2022,11.73
31-1-2021,600.16
25-11-2021,162.64
18-1-2023,1200.32
15-3-2021,900.24
3-12-2022,1500.4
24-4-2022,20.92
19-8-2022,81.32
28-11-2021,20.92
14-6-2021,300.08
8-1-2021,71.68
12-5-2021,40.66
2-11-2022,900.24
17-9-2022,600.16
1-5-2022,1200.32
17-11-2022,162.64
17-6-2022,81.32
14-7-2022,1200.34
21-7-2022,300.08
28-7-2021,162.64
8-6-2021,600.17
14-6-2022,23.46
3-2-2021,143.36
5-8-2022,2400.68
1-4-2022,15.15
10-11-2022,10.46
11-2-2023,1200.32
26-2-2023,5250
1-12-2022,121.98
4-2-2021,1200.32
22-9-2021,600.16
5-3-2021,5.23
6-2-2023,1200.32
17-11-2022,10.46
11-10-2021,26.15
6-3-2021,3000.85
17-3-2022,1500.4
9-2-2021,10.46
15-3-2021,4200
1-2-2023,203.3
27-9-2021,1500.4
20-2-2022,2400.68
25-1-2023,26.15
30-7-2021,3150
18-4-2021,15.69
8-2-2021,300.08
18-8-2022,35.84
10-9-2021,1200.32
27-7-2021,900.24
3-4-2021,179.2
3-6-2021,143.36
12-1-2021,23.46
7-1-2021,15.69
29-4-2021,81.32
1-7-2021,600.16
28-7-2021,5.23
9-9-2021,121.98
20-9-2021,15.69
16-7-2021,162.64
23-1-2023,900.24
26-6-2021,15.69
5-1-2022,1200.32
4-12-2022,71.68
24-9-2021,1500.4
13-9-2022,58.65
24-2-2023,1800.51
4-3-2021,4200
24-2-2021,5.23
2-12-2021,1500.4
30-10-2022,2400.68
9-12-2022,300.08
29-1-2023,5.23
26-4-2022,35.19
3-1-2021,900.24
20-4-2022,300.08
20-12-2022,1800.51
8-2-2023,300.08
17-9-2022,1200.32
7-7-2022,203.3
15-9-2022,1500.4
27-11-2022,600.16
26-12-2022,1800.51
16-9-2022,20.92
1-3-2021,3000.85
28-4-2021,1500.4
23-4-2021,71.68
10-10-2021,600.16
10-4-2022,10.46
2-12-2022,20.92
27-8-2022,600.16
13-9-2021,40.66
15-9-2022,143.36
11-6-2022,40.66
13-7-2021,2400.68
14-12-2021,5.23
9-9-2022,1500.4
29-1-2023,1800.51
5-7-2022,1200.32
4-11-2021,1500.4
14-3-2021,300.08
23-7-2022,2400.68
13-10-2021,900.24
31-8-2021,2100
24-11-2022,10.46
4-5-2021,300.08
20-6-2021,600.16
3-12-2021,203.3
4-1-2023,600.17
1-3-2022,5.23
17-1-2023,75.75
1-7-2021,1500.4
28-2-2023,107.52
5-6-2021,26.15
13-12-2021,1200.32
14-3-2022,15.69
20-3-2021,1200.32
5-9-2022,10.46
27-12-2022,900.24
8-2-2023,300.08
27-6-2021,900.24
16-10-2022,1500.4
26-9-2021,3000.85
28-7-2021,5.23
13-10-2021,203.3
20-2-2021,600.16
25-5-2021,143.36
4-12-2021,26.15
18-2-2021,10.46
3-3-2021,5250
25-8-2021,203.3
18-9-2021,15.69
12-6-2021,5.23
12-8-2022,3150
28-3-2021,203.3
14-3-2021,179.2
10-1-2021,35.84
6-11-2021,1200.32
21-12-2022,600.17
21-4-2022,5.23
22-3-2022,162.64
13-5-2022,4200
7-7-2021,600.16
22-6-2022,203.3
5-7-2021,143.36
16-10-2022,15.15
1-8-2021,600.16
28-10-2022,2400.68
29-10-2021,35.84
10-11-2022,107.52
6-7-2021,1200.32
27-10-2021,121.98
16-6-2021,46.92
21-7-2022,900.24
24-6-2021,300.08
28-4-2021,40.66
17-3-2021,162.64
31-3-2021,75.75
13-7-2021,1500.4
21-11-2021,1200.32
27-2-2022,600.16
22-11-2021,179.2
30-3-2022,600.17
13-5-2022,900.24
2-12-2022,2400.68
10-8-2022,1500.4
13-4-2021,4200
12-3-2022,1500.4
7-10-2022,1050
17-3-2021,26.15
10-8-2022,600.16
28-9-2021,35.84
12-10-2021,900.24
29-3-2021,143.36
21-5-2021,162.64
31-3-2022,10.46
27-3-2021,900.24
23-7-2022,300.08
8-3-2022,1200.32
4-2-2021,1500.4
24-1-2021,81.32
2-2-2021,1500.4
16-5-2022,1500.4
17-12-2021,15.69
3-5-2022,10.46
27-8-2021,5.23
11-1-2022,58.65
5-3-2023,162.64
7-1-2022,3150
19-8-2022,300.08
17-1-2022,4200
5-5-2021,600.16
4-1-2022,107.52
26-10-2021,162.64
17-6-2022,15.69
20-4-2021,300.08
4-4-2022,162.64
25-2-2022,58.65
6-5-2021,15.69
13-11-2021,162.64
3-8-2022,900.24
4-2-2023,81.32
27-8-2022,107.52
31-10-2022,300.08
27-3-2022,2400.68
30-5-2022,11.73
20-1-2021,5.23
23-12-2022,15.15
6-11-2022,900.24
21-10-2022,5.23
23-11-2021,600.16
15-1-2022,35.19
6-6-2022,15.69
2-9-2021,45.45
10-7-2022,600.16
14-4-2022,15.69
14-3-2022,900.24
1-5-2021,162.64
22-4-2022,2400.68
26-2-2023,20.92
8-2-2021,15.69
21-11-2022,300.08
10-2-2021,1500.4
22-3-2022,143.36
11-10-2022,107.52
10-5-2022,1500.4
4-8-2021,600.17
18-9-2022,71.68
1-4-2022,2400.68
11-3-2022,40.66
3-3-2022,5250
31-5-2022,11.73
23-1-2021,600.16
17-2-2022,81.32
12-5-2021,900.24
26-6-2022,900.24
22-10-2021,900.24
12-12-2021,5.23
16-9-2021,121.98
30-8-2021,900.24
29-11-2021,600.16
7-6-2021,4200
18-9-2021,3000.85
3-10-2022,81.32
14-3-2022,15.69
12-1-2023,75.75
25-2-2023,1800.51
1-11-2021,10.46
23-11-2021,1050
12-3-2022,1800.51
12-5-2021,1200.32
30-10-2022,46.92
16-1-2023,900.24
26-8-2022,3000.85
26-11-2022,26.15
9-7-2021,107.52
26-5-2021,1800.51
14-12-2021,5.23
15-7-2022,35.84
14-4-2022,1050
16-1-2021,1200.32
3-6-2022,203.3
16-3-2021,1500.4
7-2-2022,300.08
12-4-2021,10.46
4-5-2022,143.36
6-8-2022,81.32
9-5-2022,1200.32
22-5-2021,203.3
10-1-2023,2400.68
25-4-2022,40.66
8-10-2022,300.08
13-10-2022,1500.4
8-9-2022,300.08
5-12-2022,5250
13-3-2022,600.16
16-5-2021,15.15
26-12-2021,81.32
12-5-2022,15.69
14-12-2022,71.68
18-9-2021,35.84
16-11-2022,2400.68
19-10-2022,300.08
17-8-2022,81.32
23-12-2021,81.32
16-11-2021,5250
2-8-2021,15.69
17-2-2021,5250
6-5-2021,203.3
3-10-2022,20.92
15-6-2021,179.2
14-2-2021,3000.85
21-2-2023,81.32
3-9-2022,81.32
20-9-2021,121.98
9-5-2022,11.73
30-5-2022,900.24
12-3-2022,4200
25-3-2022,26.15
27-9-2021,1500.4
14-11-2021,40.66
29-5-2022,35.84
9-3-2021,5.23
12-2-2022,30.3
7-3-2022,300.08
5-2-2021,143.36
5-12-2022,1200.32
14-4-2021,26.15
4-10-2021,1500.4
15-1-2023,40.66
7-6-2022,1200.34
7-11-2022,1200.32
5-7-2021,1800.51
22-10-2022,300.08
24-2-2023,40.66
12-4-2022,15.69
27-2-2021,900.24
31-3-2021,40.66
16-3-2021,1500.4
9-2-2023,5.23
28-2-2021,1800.51
26-3-2022,121.98
27-1-2023,121.98
29-3-2021,45.45
21-1-2021,900.24
22-5-2022,40.66
7-3-2022,900.24
30-7-2022,600.16
10-4-2021,3000.85
5-3-2022,179.2
20-4-2021,30.3
1-11-2022,26.15
13-2-2023,600.16
10-4-2021,46.92
25-5-2022,26.15
26-12-2022,1200.34
19-5-2021,600.16
21-12-2022,20.92
17-6-2021,900.24
23-11-2022,81.32
19-3-2021,1200.32
30-8-2022,1500.4
12-12-2022,162.64
11-10-2021,10.46
16-12-2021,107.52
5-5-2021,300.08
14-5-2022,300.08
21-11-2022,10.46
13-11-2022,2400.68
17-8-2021,1500.4
20-8-2021,35.84
6-3-2021,179.2
9-1-2022,300.08
9-4-2021,15.15
17-2-2023,10.46
18-8-2022,1500.4
10-9-2022,203.3
25-6-2021,107.52
26-10-2022,15.69
22-2-2022,300.08
18-5-2022,179.2
13-2-2023,121.98
4-3-2023,121.98
21-4-2022,600.16
27-7-2022,1200.32
27-1-2022,1050
9-1-2023,900.24
30-5-2021,600.17
4-10-2022,1200.32
6-11-2022,26.15
6-8-2021,600.17
24-11-2021,35.19
20-7-2021,15.69
18-3-2021,23.46
21-10-2022,600.16
24-6-2022,40.66
5-2-2022,203.3
8-10-2022,40.66
26-4-2021,26.15
12-3-2021,900.24
19-2-2021,300.08
14-10-2021,20.92
30-5-2021,5250
1-10-2021,600.16
19-4-2022,600.16
16-4-2021,162.64
19-1-2022,900.24
8-8-2021,4200
2-2-2022,600.16
2-9-2021,26.15
2-3-2022,300.08
1-3-2021,203.3
15-12-2022,26.15
25-4-2021,121.98
24-2-2022,1500.4
8-3-2022,20.92
25-12-2021,107.52
19-1-2021,60.6
3-6-2022,3000.85
19-7-2022,2400.68
4-5-2021,1200.32
12-11-2021,600.16
7-3-2023,40.66
4-4-2022,2400.68
14-4-2021,75.75
16-12-2021,26.15
16-9-2021,20.92
24-4-2021,10.46
8-9-2021,300.08
15-6-2022,35.19
17-2-2021,3000.85
6-5-2021,3150
28-7-2021,300.08
21-9-2022,60.6
7-8-2021,900.24
3-11-2022,11.73
18-6-2022,35.84
7-3-2022,40.66
3-9-2022,15.69
12-8-2022,300.08
28-4-2022,10.46
24-10-2021,2100
18-7-2022,1500.4
24-6-2022,900.24
24-5-2022,26.15
1-12-2021,300.08
14-12-2022,300.08
19-1-2023,40.66
13-10-2021,1500.4
12-12-2022,81.32
17-6-2022,121.98
19-12-2021,10.46
7-6-2022,107.52
20-11-2022,179.2
27-3-2021,1200.32
13-1-2022,15.69
7-6-2022,40.66
23-9-2022,15.15
17-2-2021,143.36
17-11-2021,300.08
11-12-2022,1500.4
12-5-2022,1500.4
17-5-2022,75.75
20-2-2021,600.16
15-4-2021,1200.32
26-6-2021,5.23
2-3-2023,1200.32
10-1-2022,143.36
11-12-2022,1200.32
17-1-2021,15.15
7-8-2022,23.46
20-3-2022,1500.4
23-11-2022,3000.85
26-2-2021,11.73
18-4-2021,15.15
8-10-2022,900.24
29-12-2021,162.64
14-7-2022,40.66
21-1-2021,40.66
19-1-2023,2400.68
12-9-2022,1050
19-6-2021,121.98
15-5-2021,300.08
4-11-2021,900.24
5-5-2021,300.08
30-12-2021,600.16
25-9-2021,600.16
1-9-2022,4200
4-2-2023,1200.32
17-11-2022,15.69
2-12-2022,1200.34
6-8-2021,600.16
12-3-2022,900.24
14-9-2022,5.23
21-2-2021,23.46
18-12-2022,1050
7-3-2023,1200.32
6-4-2021,1500.4
3-3-2022,45.45
10-8-2022,45.45
18-4-2021,5.23
3-9-2022,40.66
8-6-2021,1500.4
25-3-2022,600.16
25-4-2022,15.69
5-6-2021,143.36
4-1-2022,300.08
6-9-2021,121.98
26-10-2021,5.23
12-2-2023,40.66
6-2-2023,203.3
6-11-2021,1500.4
18-6-2022,40.66
10-2-2023,600.16
25-9-2022,900.24
28-12-2022,900.24
26-10-2021,900.24
24-6-2021,1800.51
2-2-2022,1800.51
16-6-2021,1800.51
19-7-2022,1200.32
1-11-2022,1200.32
6-9-2021,71.68
9-6-2021,15.69
6-2-2022,900.24
30-4-2021,900.24
15-11-2021,203.3
21-1-2021,1200.34
15-7-2021,121.98
18-8-2021,1500.4
1-5-2022,3150
15-10-2021,45.45
15-2-2021,300.08
28-9-2022,30.3
3-4-2022,300.08
29-3-2021,600.16
31-1-2022,1200.32
24-12-2022,10.46
7-3-2023,1200.32
17-3-2021,121.98
13-5-2021,1500.4
9-12-2021,300.08
26-2-2022,81.32
6-6-2021,15.69
7-6-2021,1800.51
8-5-2021,300.08
4-8-2021,5.23
16-9-2021,900.24
31-3-2022,1500.4
14-8-2022,58.65
16-9-2021,2400.68
28-6-2022,3000.85
29-12-2021,1500.4
24-7-2022,40.66
20-1-2023,203.3
27-4-2021,58.65
21-4-2021,26.15
17-2-2022,1800.51
1-10-2022,4200
6-5-2021,5.23
22-10-2022,23.46
10-5-2022,58.65
7-6-2021,179.2
28-12-2022,81.32
26-12-2021,107.52
22-8-2021,1500.4
20-2-2021,121.98
21-10-2021,600.16
22-3-2022,121.98
19-1-2023,1500.4
26-4-2022,600.17
30-1-2023,30.3
6-1-2023,4200
12-7-2022,600.17
24-1-2023,1200.34
5-2-2021,1200.32
23-7-2022,600.16
15-2-2021,5.23
14-5-2022,81.32
27-4-2021,35.84
9-9-2021,81.32
15-8-2022,11.73
17-4-2021,600.17
27-8-2022,2100
21-2-2022,300.08
14-6-2022,162.64
24-12-2022,203.3
3-1-2022,1800.51
3-12-2022,1050
27-5-2022,1200.32
10-3-2022,300.08
19-12-2021,10.46
3-4-2022,5250
5-3-2021,162.64
3-10-2022,600.16
30-7-2022,3000.85
8-2-2021,900.24
5-12-2022,40.66
2-3-2022,600.16
12-2-2023,1500.4
30-1-2023,1500.4
27-11-2021,1200.32
2-3-2021,40.66
22-10-2021,162.64
21-7-2021,1200.32
2-2-2022,1500.4
13-6-2022,40.66
10-2-2023,600.16
27-9-2022,107.52
28-1-2021,3150
28-5-2021,1800.51
6-6-2022,3150
25-10-2021,1200.32
23-11-2021,203.3
22-9-2021,179.2
24-2-2021,1800.51
29-4-2022,23.46
6-11-2021,121.98
12-6-2021,40.66
19-7-2022,15.69
3-6-2022,203.3
20-8-2022,11.73
6-2-2022,3000.85
9-11-2021,10.46
20-2-2021,60.6
17-1-2023,1200.32
4-4-2021,20.92
25-3-2022,1200.32
17-8-2021,35.19
5-8-2021,5.23
15-12-2021,81.32
9-5-2022,46.92
5-8-2022,20.92
18-9-2022,35.84
19-8-2021,81.32
21-8-2022,900.24
15-2-2021,15.69
28-6-2021,20.92
29-5-2021,1800.51
14-7-2021,40.66
31-12-2021,600.17
3-9-2022,58.65
27-9-2022,26.15
17-1-2023,162.64
7-10-2021,2400.68
